subject_id,timepoint,age,age_months,understood,understood_only,produced,survey_vocab_max
ID_438B2B14ADCEDE63,t2,34,34.08,158,144,14,396
ID_44AF616A7255026A,t1,20,20.16,17,12,5,396
ID_44AF616A7255026A,t2,31,30.6,87,56,31,396
ID_456C2DED88FC384C,t1,19,18.72,29,29,0,396
ID_467CBAFB935F5226,t1,22,21.6,104,100,4,396
ID_467CBAFB935F5226,t2,31,30.72,139,123,16,396
ID_46E5F8539DA76D77,t1,20,20.28,0,0,0,396
ID_46E5F8539DA76D77,t2,31,31.44,64,64,0,396
ID_46FE001DEB70838B,t1,19,18.72,59,59,0,396
ID_46FE001DEB70838B,t2,31,31.2,133,100,33,396
ID_47C8E00563150E61,t1,21,21.0,65,56,9,396
ID_47C8E00563150E61,t2,33,33.24,55,44,11,396
ID_4838BEADB2144712,t1,18,18.36,65,61,4,396
ID_49F2CC53B7F3C057,t1,21,20.88,139,110,29,396
ID_49F2CC53B7F3C057,t2,30,30.24,222,127,95,396
ID_4A65CCEEAFECA14F,t1,21,21.12,54,30,24,396
ID_4A65CCEEAFECA14F,t2,30,30.12,124,58,66,396
ID_4C2A07A9E1CF5F28,t1,19,18.72,5,5,0,396
ID_4CB38923259FF9A4,t1,24,23.52,37,36,1,396
ID_4CB38923259FF9A4,t2,32,32.4,141,129,12,396
ID_4D8398048DEA0A09,t1,17,17.4,96,96,0,396
ID_4ED9768B6A7EBE05,t1,18,18.12,240,215,25,396
ID_4F1385697189CB21,t1,22,21.84,0,0,0,396
ID_51587A0665DC89BE,t1,21,21.0,130,112,18,396
ID_53012865D33F7A23,t1,19,19.08,72,56,16,396
ID_542DEC1AB47F4DAC,t1,21,21.0,191,154,37,396
ID_542DEC1AB47F4DAC,t2,30,29.64,281,236,45,396
ID_55B653A5CC9F1330,t1,19,18.6,15,14,1,396
ID_560D6CF65A25C93F,t1,21,21.36,92,89,3,396
ID_56945AC4CC13C4FC,t1,20,20.4,16,15,1,396
ID_5813CB3558F9194D,t1,18,18.48,88,77,11,396
ID_5B41F863185AA408,t1,24,23.88,266,215,51,396
ID_5B41F863185AA408,t2,31,30.84,255,219,36,396
ID_5EB3EA8A55FF6137,t1,20,19.8,11,10,1,396
