subject_id,survey,age,sex,noun1c,noun1v,noun1s,noun2c,noun2v,noun2s,noun3c,noun3v,noun3s,noun4c,noun4v,noun4s,noun5c,noun5v,noun5s,noun6c,noun6v,noun6s,noun7c,noun7v,noun7s,noun8c,noun8v,noun8s,noun9c,noun9v,noun9s,noun10c,noun10v,noun10s,tnoun10,noun11v,noun11s,tnoun11,noun12c,noun12v,noun12s,tnoun12,noun13c,noun13v,noun13s,tnoun13,verb14c,verbs14v,verbs14s,tverb14,adjec15c,adject15,adjec15s,tadjec15,noun16c,noun16v,noun16s,tnoun16,pron17c,pron17v,pron17s,tpron17,quest18c,quest18v,quest18s,tquest18,prep19c,prep19v,prep19s,tprep19,quant20c,quant20v,quant20s,tquant20,verb21v,verb21s,tverb21,conn22v,conn22s,tconn22,inounv,inouns,tinoun,iverbv,iverbs,tiverb,onoun,overb,complex,sent,survey_vocab_max,spoken,signed,understood,understood_imputed,produced
ID_7F92CC1AF962D5CD,WS,81,M,,10,0,,34,0,,12,0,,16,0,,48,0,,22,0,,22,0,,40,0,,21,0,,24,0,24,14,0,14,,27,0,27,,18,0,18,,88,0,88,,54,0,54,,10,0,10,,20,0,20,,4,0,4,,17,0,17,,13,0,13,14,0,14,4,0,4,3,0,3,9,0,9,0,1,17,11,690,528,0,,528,528
ID_64C4F4554221D4E3,WS,81,M,,0,11,,0,36,,0,13,,0,17,,0,33,,0,14,,0,22,,0,38,,0,12,,0,16,16,0,8,8,,0,14,14,,0,19,19,,0,34,34,,0,32,32,0,0,0,0,,0,3,3,,0,4,4,,0,6,6,,0,3,3,0,0,0,0,0,0,0,3,3,0,7,7,0,0,0,7,690,0,335,,335,335
ID_4FE28953AD5C5914,WG,81,F,,11,0,1,27,0,2,7,0,,8,0,1,24,0,2,17,0,,19,0,3,31,0,4,17,0,3,21,0,,0,0,,1,12,0,13,1,17,0,18,10,45,0,55,9,28,0,37,,8,0,8,1,10,0,11,2,3,0,5,3,8,0,11,5,3,0,8,0,0,0,0,0,0,,,,,,,,,,,396,316,0,,316,316
ID_EA96F2F9C953AC98,WS,82,M,,12,0,,37,0,,13,0,,18,0,,41,0,,16,0,,18,0,,39,0,,23,0,,27,0,27,15,0,15,,22,0,22,,19,0,19,,72,0,72,,43,0,43,,7,0,7,,12,0,12,,1,0,1,,13,0,13,,5,0,5,9,0,9,1,0,1,4,0,4,7,0,7,0,0,9,6,690,462,0,,462,462
ID_76DE7462927AC977,WS,83,M,,4,0,,22,0,,11,0,,11,0,,27,0,,7,0,,14,0,,20,0,,10,0,,13,0,13,6,0,6,,13,0,13,,14,0,14,,16,0,16,,9,0,9,0,0,0,0,,2,0,2,,1,0,1,,6,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,690,206,0,,206,206
ID_D0F1C1DF20447A66,WS,83,F,,11,0,,33,0,,10,0,,18,0,,46,0,,24,0,,24,0,,41,0,,21,0,,24,0,24,14,0,14,,22,0,22,,23,0,23,,93,0,93,,55,0,55,,9,0,9,,55,0,55,,9,0,9,,16,0,16,,11,0,11,20,0,20,3,0,3,5,0,5,5,0,5,0,3,24,8,690,579,0,,579,579
ID_719FA88A0862D21A,WS,83,M,,9,0,,22,0,,6,0,,12,0,,38,0,,16,0,,22,0,,28,0,,16,0,,12,0,12,9,0,9,,17,0,17,,15,0,15,,41,0,41,,27,0,27,,4,0,4,,2,0,2,,1,0,1,,4,0,4,,1,0,1,1,0,1,1,0,1,2,0,2,1,0,1,0,0,9,5,690,303,0,,303,303
ID_CB187AE2466DFD7A,WS,83,M,,9,0,,35,0,,11,0,,17,0,,48,0,,20,0,,20,0,,42,0,,25,0,,26,0,26,16,0,16,,22,0,22,,22,0,22,,84,0,84,,50,0,50,,11,0,11,,17,0,17,,3,0,3,,19,0,19,,13,0,13,14,0,14,2,0,2,3,0,3,13,0,13,0,0,30,7,690,524,0,,524,524
ID_AB63EF95F8A53D8D,WS,83,F,,12,0,,43,0,,12,0,,18,0,,59,0,,26,0,,24,0,,49,0,,30,0,,28,0,28,19,0,19,,25,0,25,,25,0,25,,101,0,101,,62,0,62,,12,0,12,,20,0,20,,7,0,7,,21,0,21,,14,0,14,13,0,13,2,0,2,3,0,3,11,0,11,0,4,25,12,690,620,0,,620,620
ID_6AE43E15465549EE,WS,83,M,,11,0,,24,0,,11,0,,6,0,,21,0,,5,0,,19,0,,17,0,,8,0,,14,0,14,7,0,7,,16,0,16,,10,0,10,,32,0,32,,33,0,33,,3,0,3,,6,0,6,,3,0,3,,9,0,9,,3,0,3,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,3,690,259,0,,259,259
ID_C27B4F1BEB13CB9E,WS,83,F,,2,0,,1,14,,0,4,,2,2,,0,16,0,0,0,,0,12,,0,4,0,0,0,,0,3,3,0,0,0,,3,3,6,,5,5,10,,0,12,12,,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,690,13,91,,91,104
ID_D9302A8116269439,WS,84,M,,7,0,,9,2,,6,0,,2,0,,17,7,,6,0,,4,0,,3,0,,6,0,,2,0,2,3,0,3,,4,0,4,,7,0,7,0,0,0,0,,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,690,80,10,,80,90
ID_0D169EE9F5F41D9D,WS,84,F,,9,0,,41,0,,14,0,,18,0,,58,0,,26,0,,25,0,,46,0,,28,0,,29,0,29,19,0,19,,27,0,27,,23,0,23,,100,0,100,,66,0,66,,11,0,11,,22,0,22,,7,0,7,,22,0,22,,13,0,13,16,0,16,2,0,2,4,0,4,13,0,13,1,4,37,7,690,620,0,,620,620
ID_68901B7AE283727C,WS,84,F,,9,0,,38,0,,13,0,,18,0,,58,0,,27,0,,25,0,,45,0,,25,0,,27,0,27,20,0,20,,26,0,26,,19,0,19,,99,0,99,,55,0,55,,12,0,12,,21,0,21,,7,0,7,,24,0,24,,13,0,13,10,0,10,2,0,2,3,0,3,0,0,0,1,0,34,6,690,591,0,,591,591
ID_8339451A38AA1D2C,WS,84,F,,10,0,,36,0,,12,0,,10,0,,51,0,,25,0,,26,0,,44,0,,26,0,,27,0,27,18,0,18,,26,0,26,,21,0,21,,102,0,102,,62,0,62,,12,0,12,,25,0,25,,6,0,6,,26,0,26,,17,0,17,21,0,21,6,0,6,4,0,4,14,0,14,1,6,27,10,690,603,0,,603,603
