subject_id,age,understood,spoken,form,form_max_spoken,form_max_understood
ID_EB673088CB3AB5E1,30,292,40,Gestures and words,408,408
ID_EB673088CB3AB5E1,36,334,243,Gestures and words,408,408
ID_EB673088CB3AB5E1,42,,499,Words and sentences,670,
ID_EB673088CB3AB5E1,49,,581,Words and sentences,670,
ID_A442F0DD9555D47B,25,132,11,Gestures and words,408,408
ID_A442F0DD9555D47B,32,278,26,Gestures and words,408,408
ID_677D6650FAC277C7,35,75,4,Gestures and words,408,408
ID_677D6650FAC277C7,41,198,8,Gestures and words,408,408
ID_677D6650FAC277C7,47,461,12,Gestures and words,408,408
ID_DB38D5A2A01B3AFC,47,,84,Words and sentences,670,
ID_DB38D5A2A01B3AFC,53,,258,Words and sentences,670,
ID_DB38D5A2A01B3AFC,59,,380,Words and sentences,670,
ID_E7EC8523BC8238BE,26,88,8,Gestures and words,408,408
ID_A566D85F1960C48E,33,326,22,Gestures and words,408,408
ID_A566D85F1960C48E,39,381,262,Gestures and words,408,408
ID_A566D85F1960C48E,45,,465,Words and sentences,670,
ID_20F0D0477D917521,41,,65,Words and sentences,670,
ID_20F0D0477D917521,48,,170,Words and sentences,670,
ID_20F0D0477D917521,53,,264,Words and sentences,670,
ID_3A3DC72DF1443F26,77,,394,Words and sentences,670,
ID_6BD9EA3676A1D133,25,208,5,Gestures and words,408,408
ID_6BD9EA3676A1D133,31,282,9,Gestures and words,408,408
ID_6BD9EA3676A1D133,37,316,22,Gestures and words,408,408
ID_6BD9EA3676A1D133,43,326,63,Gestures and words,408,408
ID_6BD9EA3676A1D133,49,,157,Words and sentences,670,
ID_D5932CAD82CC1B8F,27,73,0,Gestures and words,408,408
ID_1F3511A1B5734D26,37,118,0,Gestures and words,408,408
ID_1F3511A1B5734D26,43,243,0,Gestures and words,408,408
ID_1F3511A1B5734D26,49,294,1,Gestures and words,408,408
ID_1F3511A1B5734D26,56,303,3,Gestures and words,408,408
ID_1F3511A1B5734D26,61,325,20,Gestures and words,408,408
ID_86CCC3E98DECD166,26,258,9,Gestures and words,408,408
ID_86CCC3E98DECD166,32,308,33,Gestures and words,408,408
ID_86CCC3E98DECD166,38,339,144,Gestures and words,408,408
ID_86CCC3E98DECD166,44,389,268,Gestures and words,408,408
ID_86CCC3E98DECD166,50,,421,Words and sentences,670,
ID_F50325F75795B63C,31,198,0,Gestures and words,408,408
ID_AE9C6A1BE87D5585,38,355,11,Gestures and words,408,408
ID_AE9C6A1BE87D5585,44,357,86,Gestures and words,408,408
ID_AE9C6A1BE87D5585,50,369,156,Gestures and words,408,408
ID_AE9C6A1BE87D5585,57,,359,Words and sentences,670,
ID_AE9C6A1BE87D5585,62,,418,Words and sentences,670,
ID_0114AA4770169FB3,22,174,13,Gestures and words,408,408
ID_0114AA4770169FB3,28,242,21,Gestures and words,408,408
ID_BADEB72A304C3327,25,80,4,Gestures and words,408,408
ID_BADEB72A304C3327,31,172,17,Gestures and words,408,408
ID_91E2AD4206E19BCF,24,118,1,Gestures and words,408,408
ID_888992DF739A0F9D,38,274,46,Gestures and words,408,408
ID_888992DF739A0F9D,46,324,130,Gestures and words,408,408
ID_1059E85D81CD7438,25,62,6,Gestures and words,408,408
ID_1059E85D81CD7438,31,138,35,Gestures and words,408,408
ID_1059E85D81CD7438,38,255,181,Gestures and words,408,408
ID_913DE32ED7212411,37,257,6,Gestures and words,408,408
ID_913DE32ED7212411,43,286,12,Gestures and words,408,408
ID_913DE32ED7212411,49,303,23,Gestures and words,408,408
ID_913DE32ED7212411,55,310,37,Gestures and words,408,408
ID_913DE32ED7212411,61,337,90,Gestures and words,408,408
ID_A520343E5F30BD1A,24,263,3,Gestures and words,408,408
ID_A520343E5F30BD1A,31,331,15,Gestures and words,408,408
ID_A520343E5F30BD1A,36,339,97,Gestures and words,408,408
ID_A520343E5F30BD1A,43,,178,Words and sentences,670,
ID_A520343E5F30BD1A,60,,448,Words and sentences,670,
ID_2F4DEF6C26C63404,25,341,9,Gestures and words,408,408
ID_2F4DEF6C26C63404,31,351,85,Gestures and words,408,408
ID_9023E0F4936321E0,28,307,27,Gestures and words,408,408
ID_9023E0F4936321E0,36,363,79,Gestures and words,408,408
ID_9023E0F4936321E0,42,390,176,Gestures and words,408,408
ID_9023E0F4936321E0,48,,400,Words and sentences,670,
ID_9023E0F4936321E0,55,,554,Words and sentences,670,
ID_967E6517BEFBC81E,51,180,47,Gestures and words,408,408
ID_967E6517BEFBC81E,57,237,129,Gestures and words,408,408
ID_967E6517BEFBC81E,63,,221,Words and sentences,670,
ID_94BD66F3CD2AF41F,58,239,58,Gestures and words,408,408
ID_94BD66F3CD2AF41F,64,292,183,Gestures and words,408,408
ID_94BD66F3CD2AF41F,70,,226,Words and sentences,670,
